ReportDate,Tenant,Section,AccountID,AccountName,AccountCode,Debit,Credit,YTDDebit,YTDCredit
2026-06-30,Catherby Fisheries Pty Ltd,Assets,00000000-0000-0000-0000-000000000001,Business Bank Account,090,1200.0,0.0,15234.5,0.0
2026-06-30,Catherby Fisheries Pty Ltd,Assets,00000000-0000-0000-0000-000000000002,Accounts Receivable,610,3300.0,0.0,42100.0,0.0
2026-06-30,Catherby Fisheries Pty Ltd,Assets,00000000-0000-0000-0000-000000000003,Office Equipment,710,0.0,0.0,12000.0,0.0
2026-06-30,Catherby Fisheries Pty Ltd,Liabilities,00000000-0000-0000-0000-000000000004,Accounts Payable,800,0.0,800.0,0.0,18400.0
2026-06-30,Catherby Fisheries Pty Ltd,Liabilities,00000000-0000-0000-0000-000000000005,GST,820,0.0,400.0,0.0,4210.0
2026-06-30,Catherby Fisheries Pty Ltd,Liabilities,00000000-0000-0000-0000-000000000006,Loan,900,0.0,0.0,0.0,20000.0
2026-06-30,Catherby Fisheries Pty Ltd,Revenue,00000000-0000-0000-0000-000000000007,Sales,200,0.0,4500.0,0.0,71000.0
2026-06-30,Catherby Fisheries Pty Ltd,Expenses,00000000-0000-0000-0000-000000000008,Wages and Salaries,477,1000.0,0.0,45000.0,0.0
2026-06-30,Catherby Fisheries Pty Ltd,Expenses,00000000-0000-0000-0000-000000000009,Rent,469,200.0,0.0,12000.0,0.0
2026-06-30,Catherby Fisheries Pty Ltd,Equity,00000000-0000-0000-0000-000000000010,Retained Earnings,960,0.0,0.0,0.0,12724.5
